student_id,attendance_rate,homework_submission_rate,exam_score_avg,gate_pass_violations,bus_delay_minutes,sentiment_score,sentiment_text,gamified_points,risk_label
STU00064,80.95,70.33,76.18,0,5,0.09,Excited for the football game,1084,0
STU00065,71.23,41.55,62.91,0,11,-0.98,I feel lonely during lunch,730,1
STU00066,43.2,71.89,84.08,0,4,0.32,Class was fun,1139,0
STU00067,57.32,45.28,83.07,0,9,0.18,Too much pressure,868,0
STU00068,71.98,47.19,69.37,0,0,0.08,Feeling very overwhelmed,818,0
STU00069,65.97,82.76,84.68,0,0,-0.0,I feel great today,1251,0
STU00070,77.69,68.84,81.89,0,5,0.92,Love my teachers,1097,0
STU00071,59.33,82.2,86.85,0,0,0.67,Class was fun,1256,0
STU00072,90.05,68.87,53.85,0,12,-0.84,Struggling with math,957,1
STU00073,95.94,59.02,82.42,0,9,-0.7,Feeling very overwhelmed,1002,1
STU00074,72.35,75.71,80.36,2,9,0.81,Class was fun,1158,0
STU00075,94.27,86.08,90.34,0,1,0.45,I feel great today,1312,0
STU00076,63.78,50.08,83.56,2,7,-0.52,So tired and stressed out,918,1
STU00077,71.17,90.86,53.9,0,0,-0.57,Struggling with math,1178,1
STU00078,88.98,71.17,73.01,2,4,0.0,Homework was easy,1076,1
STU00079,60.39,86.07,67.81,1,0,0.96,Love my teachers,1199,0
STU00080,92.26,58.17,93.57,0,10,-0.68,Struggling with math,1049,1
STU00081,86.98,76.01,65.42,0,6,0.4,Class was fun,1087,0
STU00082,76.22,89.16,83.18,0,10,0.76,Excited for the football game,1307,0
STU00083,82.52,58.93,82.78,2,8,-0.85,Struggling with math,1003,1
STU00084,93.36,55.77,77.29,0,1,-0.24,Nobody wants to talk to me,944,0
STU00085,85.71,74.25,78.35,1,13,0.63,Love my teachers,1134,0
STU00086,85.68,39.62,79.41,0,0,-0.61,Struggling with math,793,1
STU00087,69.22,89.8,72.87,0,1,-0.1,Love my teachers,1262,0
STU00088,73.72,83.6,60.27,0,20,0.29,Love my teachers,1137,0
STU00089,93.59,52.83,70.88,1,10,-0.07,Too much pressure,882,1
STU00090,80.17,64.24,66.88,0,3,-0.12,I feel great today,976,0
STU00091,82.13,71.97,45.91,0,5,0.03,I feel lonely during lunch,949,0
STU00092,76.71,84.87,72.35,0,3,-0.09,Love my teachers,1210,0
STU00093,91.93,76.45,81.87,0,5,0.65,Class was fun,1173,0
STU00094,89.05,70.65,90.81,0,5,0.43,Had a good day at school,1160,0
STU00095,89.56,60.31,68.12,0,4,0.66,Love my teachers,943,0
STU00096,80.97,88.74,69.2,0,2,0.99,Class was fun,1233,0
STU00097,86.73,66.81,74.54,0,1,0.51,Class was fun,1040,0
STU00098,75.07,72.04,74.69,0,10,0.33,Homework was easy,1093,0
STU00099,75.82,74.53,88.93,0,17,0.34,Homework was easy,1189,0
STU00100,94.05,62.66,70.82,0,6,0.6,Excited for the football game,980,0
STU00101,75.31,77.58,72.64,0,3,0.92,Love my teachers,1139,0
STU00102,86.33,74.01,100.0,0,0,0.17,Love my teachers,1240,0
STU00103,73.78,70.81,97.97,0,5,0.81,Had a good day at school,1197,0
STU00104,78.75,60.12,88.27,0,5,0.27,Class was fun,1042,0
STU00105,84.57,65.67,78.95,1,6,0.85,Love my teachers,1051,0
STU00106,84.21,69.37,76.45,0,1,0.24,Excited for the football game,1075,0
STU00107,87.08,91.56,67.79,0,5,0.54,I feel great today,1254,0
STU00108,76.15,67.86,92.34,0,4,0.72,Class was fun,1140,0
STU00109,72.8,76.54,81.64,0,1,0.14,I feel great today,1173,0
STU00110,91.52,73.35,73.39,0,1,0.43,Excited for the football game,1100,0
STU00111,79.35,44.44,74.1,0,5,0.14,So tired and stressed out,814,0
STU00112,83.88,88.35,71.7,0,7,0.13,Excited for the football game,1242,0
STU00113,65.26,36.7,60.15,0,9,-0.74,Feeling very overwhelmed,667,1
STU00114,70.86,76.68,65.73,0,6,0.63,Class was fun,1095,0
STU00115,88.88,71.65,65.89,1,3,0.86,Had a good day at school,1045,0
STU00116,97.61,54.4,80.03,0,4,0.15,Too much pressure,944,0
STU00117,92.61,81.53,88.1,1,2,-0.02,Excited for the football game,1255,0
STU00118,84.32,84.58,77.7,0,8,0.74,Class was fun,1234,0
STU00119,86.93,63.29,100.0,0,12,0.4,Love my teachers,1132,0
STU00120,80.23,79.77,89.0,1,7,0.17,Homework was easy,1242,0
STU00121,89.22,71.76,74.7,0,7,0.01,Homework was easy,1091,0
STU00122,94.12,68.16,81.36,0,1,0.41,Love my teachers,1088,0
STU00123,78.24,68.8,72.44,0,26,-0.13,Homework was easy,1050,0
STU00124,92.68,66.82,75.04,0,1,0.55,Class was fun,1043,0
STU00125,44.41,61.65,81.5,1,2,0.38,Excited for the football game,1024,0
STU00126,76.58,78.09,74.63,0,9,-0.08,Class was fun,1154,0
STU00127,74.88,53.58,78.42,2,5,-0.47,Nobody wants to talk to me,927,1
STU00128,84.15,74.81,84.59,0,3,-0.02,Love my teachers,1171,0
STU00129,61.17,78.57,65.37,0,2,0.73,Had a good day at school,1112,0
STU00130,91.16,77.97,85.56,0,17,0.15,Had a good day at school,1207,0
STU00131,70.33,83.91,68.0,2,19,0.52,Excited for the football game,1179,0
STU00132,73.33,69.31,72.48,0,2,0.33,Love my teachers,1055,0
STU00133,83.43,75.01,78.65,2,7,0.35,Had a good day at school,1143,0
STU00134,73.12,73.0,75.36,0,0,-0.04,Homework was easy,1106,0
STU00135,80.04,66.57,52.21,0,5,0.05,I feel lonely during lunch,926,0
STU00136,88.89,65.19,63.88,0,2,0.76,Homework was easy,971,0
STU00137,95.1,81.47,57.6,0,1,0.85,Excited for the football game,1102,0
STU00138,85.91,77.7,92.49,0,0,0.54,Class was fun,1239,0
STU00139,91.69,86.5,97.34,0,5,0.77,Class was fun,1351,0
STU00140,89.53,68.36,67.21,1,2,-0.02,Had a good day at school,1019,0
STU00141,96.19,86.47,97.25,1,2,0.81,Homework was easy,1350,0
STU00142,98.22,75.68,68.67,0,1,0.93,I feel great today,1100,0
STU00143,74.71,72.31,91.69,0,0,0.67,I feel great today,1181,0
STU00144,59.41,85.96,79.24,0,0,0.14,I feel great today,1255,0
STU00145,78.69,73.53,93.82,0,3,-0.16,Class was fun,1204,0
STU00146,93.08,72.26,73.69,0,6,0.98,Love my teachers,1091,0
STU00147,91.0,74.64,79.17,0,0,0.07,Class was fun,1142,0
STU00148,89.25,66.99,74.01,0,0,0.93,Love my teachers,1039,0
STU00149,82.92,88.88,75.89,1,0,0.74,Homework was easy,1268,0
STU00150,87.83,52.6,71.5,2,0,-0.44,I feel lonely during lunch,883,1
STU00151,73.96,90.25,88.78,1,3,0.14,I feel great today,1346,0
STU00152,67.84,78.9,86.79,0,9,0.89,Homework was easy,1222,0
STU00153,90.12,69.73,61.04,0,10,0.76,Homework was easy,1002,0
STU00154,84.61,63.68,60.73,0,4,0.43,Had a good day at school,940,0
STU00155,89.4,54.9,79.21,0,8,-0.45,So tired and stressed out,945,1
STU00156,98.34,84.35,68.22,0,2,0.7,Had a good day at school,1184,0
STU00157,94.62,79.25,76.63,0,1,0.62,Excited for the football game,1175,0
STU00158,73.03,69.91,87.34,2,7,0.6,Had a good day at school,1135,0
STU00159,69.09,91.99,47.68,0,2,0.17,Feeling very overwhelmed,1158,0
STU00160,90.84,64.14,77.35,1,16,0.67,Love my teachers,1028,0
STU00161,88.95,73.05,97.06,0,0,0.36,Love my teachers,1215,0
STU00162,96.84,59.02,73.75,1,4,0.19,Feeling very overwhelmed,958,0
STU00163,89.04,68.4,82.7,1,3,0.32,Love my teachers,1097,0
STU00164,96.08,58.16,94.68,0,3,-0.87,I feel lonely during lunch,1055,1
STU00165,87.24,51.04,66.09,0,0,-0.83,Struggling with math,840,1
STU00166,91.38,69.72,57.51,0,1,-0.16,Love my teachers,984,0
STU00167,88.7,50.38,77.56,0,2,-0.39,Struggling with math,891,1
STU00168,78.39,85.03,78.21,0,1,0.79,I feel great today,1241,0
STU00169,89.13,52.97,85.76,0,3,-0.56,Struggling with math,958,1
STU00170,91.15,77.82,61.92,0,0,0.56,Homework was easy,1087,0
STU00171,79.19,86.09,76.3,0,1,0.38,Class was fun,1242,0
STU00172,77.73,87.59,67.25,0,1,0.17,Homework was easy,1212,0
STU00173,76.6,71.12,84.73,0,2,0.52,I feel great today,1134,0
STU00174,75.24,64.31,90.72,0,0,0.29,Love my teachers,1096,0
STU00175,79.0,81.77,78.36,0,3,-0.17,Love my teachers,1209,0
STU00176,84.71,75.35,71.89,0,11,-0.06,Excited for the football game,1112,0
STU00177,82.6,70.07,80.37,0,3,-0.02,Had a good day at school,1102,0
STU00178,67.47,61.65,72.98,0,16,0.47,Class was fun,981,0
STU00179,91.08,76.64,88.21,0,1,0.27,Had a good day at school,1207,0
STU00180,64.56,52.94,80.61,1,7,-0.85,Feeling very overwhelmed,932,1
STU00181,66.05,84.4,78.06,0,1,0.04,Love my teachers,1234,0
STU00182,84.57,29.7,70.96,0,15,-0.76,Struggling with math,651,1
STU00183,88.92,57.55,98.48,0,5,-0.84,Too much pressure,1067,1
STU00184,65.93,74.08,85.28,0,8,0.69,Had a good day at school,1167,0
STU00185,89.79,70.5,65.16,0,2,-0.12,Had a good day at school,1030,0
STU00186,80.78,69.96,82.3,0,3,0.75,Class was fun,1111,0
STU00187,80.18,73.32,73.14,1,3,0.07,Class was fun,1098,0
STU00188,84.85,71.33,77.52,0,6,0.79,Excited for the football game,1100,0
STU00189,64.96,86.37,53.77,0,4,-0.93,Nobody wants to talk to me,1132,1
STU00190,61.08,66.66,84.9,0,0,0.23,Had a good day at school,1091,0
STU00191,83.05,68.06,73.35,1,5,0.39,Had a good day at school,1047,0
STU00192,96.46,84.01,62.34,0,7,0.57,I feel great today,1151,0
STU00193,83.0,87.13,72.49,0,0,0.72,Had a good day at school,1233,0
STU00194,90.03,42.49,86.65,0,0,-0.22,Struggling with math,858,0
STU00195,78.92,55.42,73.22,0,0,-0.87,So tired and stressed out,920,1
STU00196,67.44,74.04,72.38,0,3,0.51,I feel great today,1102,0
STU00197,49.73,57.83,66.32,0,18,-0.85,Feeling very overwhelmed,909,1
STU00198,78.48,85.41,86.86,2,11,0.74,Excited for the football game,1288,0
STU00199,97.46,73.56,65.44,1,0,0.95,Excited for the football game,1062,0
STU00200,79.58,68.72,90.38,0,0,0.77,Class was fun,1139,0
STU00201,66.69,65.51,80.6,1,0,-0.02,I feel great today,1058,0
STU00202,77.34,89.36,85.1,0,3,0.32,Class was fun,1319,0
STU00203,81.06,53.35,79.45,1,15,0.19,I feel lonely during lunch,930,0
STU00204,63.34,80.6,80.11,1,3,0.66,I feel great today,1206,0
STU00205,64.83,79.31,93.75,0,2,0.91,I feel great today,1261,0
STU00206,94.96,66.48,74.76,0,0,0.15,Love my teachers,1038,0
STU00207,93.24,53.98,82.05,1,4,-0.57,So tired and stressed out,950,1
STU00208,63.06,82.8,70.12,1,2,0.5,I feel great today,1178,0
STU00209,92.15,62.4,70.14,0,1,0.51,Had a good day at school,974,0
STU00210,90.41,62.59,69.26,0,7,0.59,Class was fun,972,0
STU00211,85.44,71.16,44.3,1,1,-0.64,Nobody wants to talk to me,933,1
STU00212,94.36,64.72,69.43,0,11,0.77,Love my teachers,994,0
STU00213,89.95,79.74,65.3,0,7,0.5,Homework was easy,1123,0
STU00214,96.18,64.89,82.28,1,6,0.35,Had a good day at school,1060,0
STU00215,67.19,83.23,81.48,0,19,0.83,Class was fun,1239,0
STU00216,77.48,46.38,66.45,0,9,-0.99,Struggling with math,796,1
STU00217,88.64,72.54,90.84,0,3,0.66,Had a good day at school,1179,0
STU00218,77.51,66.37,61.59,1,7,0.1,Had a good day at school,971,0
STU00219,57.92,77.75,76.72,0,1,0.22,Homework was easy,1161,0
STU00220,54.02,87.94,73.13,1,5,0.56,Class was fun,1245,0
STU00221,58.12,74.0,54.98,0,3,-0.78,I feel lonely during lunch,1014,1
STU00222,92.73,84.5,54.03,0,5,0.16,Too much pressure,1115,0
STU00223,82.42,54.65,89.97,0,16,-0.7,Too much pressure,996,1
STU00224,77.39,90.8,72.42,0,6,0.62,Class was fun,1270,0
STU00225,83.07,70.76,80.97,0,5,0.97,Love my teachers,1112,0
STU00226,78.71,62.27,75.19,0,5,0.09,Excited for the football game,998,0
STU00227,77.36,83.06,64.55,0,3,0.68,Homework was easy,1153,0
STU00228,79.77,69.11,58.19,0,6,0.69,Love my teachers,982,0
STU00229,85.15,87.67,78.42,1,7,0.35,Love my teachers,1268,0
STU00230,62.37,89.22,68.41,0,0,0.16,Excited for the football game,1234,0
STU00231,86.2,72.21,92.32,0,0,-0.01,Homework was easy,1183,0
STU00232,82.44,76.6,100.0,0,2,0.79,Had a good day at school,1266,0
STU00233,82.45,68.22,48.37,1,2,-0.34,So tired and stressed out,924,1
STU00234,72.33,70.77,61.76,0,0,0.63,I feel great today,1016,0
STU00235,82.74,84.59,80.1,0,1,0.42,Class was fun,1246,0
STU00236,63.01,74.61,49.89,0,3,-0.16,Nobody wants to talk to me,995,0
STU00237,88.05,51.2,100.0,0,0,-0.6,Feeling very overwhelmed,1012,1
STU00238,91.52,68.1,74.45,0,4,0.63,Excited for the football game,1053,0
STU00239,59.88,93.28,72.76,0,1,0.83,I feel great today,1296,0
STU00240,68.78,56.97,77.3,0,2,-0.04,I feel lonely during lunch,956,0
STU00241,90.85,68.0,67.59,0,5,0.65,Had a good day at school,1017,0
STU00242,53.62,55.26,91.76,1,3,-0.83,Nobody wants to talk to me,1011,1
STU00243,67.8,73.08,80.56,1,5,0.87,Had a good day at school,1133,0
STU00244,79.86,49.6,65.9,0,11,-0.39,Nobody wants to talk to me,825,1
STU00245,75.02,52.82,82.16,0,1,0.13,Feeling very overwhelmed,939,0
STU00246,55.22,52.36,87.53,1,1,-0.89,Feeling very overwhelmed,961,1
STU00247,93.21,45.83,56.22,0,1,0.08,Too much pressure,739,0
STU00248,70.79,70.18,84.08,2,0,0.29,Love my teachers,1122,0
STU00249,85.45,56.59,59.25,0,7,-0.25,Feeling very overwhelmed,862,0
STU00250,71.46,60.62,70.78,0,2,0.07,Class was fun,960,0
STU00251,85.46,65.72,98.45,0,2,0.93,I feel great today,1149,0
STU00252,52.69,80.39,69.18,0,0,0.65,I feel great today,1149,0
STU00253,93.16,72.77,75.52,0,2,-0.02,Excited for the football game,1105,0
STU00254,80.78,75.69,73.19,0,0,0.53,I feel great today,1122,0
STU00255,65.47,84.41,78.04,1,9,-0.13,Had a good day at school,1234,0
STU00256,82.55,81.34,72.87,0,3,0.12,Class was fun,1177,0
STU00257,77.2,73.14,91.43,0,1,0.77,Excited for the football game,1188,0
STU00258,61.51,90.51,73.2,1,4,0.41,Love my teachers,1271,0
STU00259,92.76,80.91,73.6,0,6,0.49,Homework was easy,1177,0
STU00260,71.82,77.41,85.14,0,6,0.39,Class was fun,1199,0
STU00261,88.02,68.96,72.08,1,4,0.5,Had a good day at school,1050,0
STU00262,92.86,85.38,79.83,0,1,0.06,Class was fun,1252,0
STU00263,88.44,66.41,68.61,0,4,0.81,Love my teachers,1007,0
STU00264,82.51,67.72,81.47,0,10,0.75,Had a good day at school,1084,0
STU00265,81.58,68.8,67.13,1,3,0.71,Had a good day at school,1023,0
STU00266,84.07,48.92,76.7,0,12,-0.39,So tired and stressed out,872,1
STU00267,38.51,76.32,68.16,0,1,0.01,Class was fun,1104,0
STU00268,88.22,86.44,84.1,0,13,0.26,Homework was easy,1284,0
STU00269,66.72,70.67,73.61,0,5,0.18,Homework was easy,1074,0
STU00270,91.57,68.39,92.67,0,2,-0.11,Class was fun,1147,0
STU00271,76.62,78.14,78.89,0,17,0.34,I feel great today,1175,0
STU00272,77.35,48.36,93.25,1,0,-0.99,Feeling very overwhelmed,949,1
STU00273,94.09,61.46,68.97,0,2,0.8,Love my teachers,959,0
STU00274,76.32,74.5,55.5,0,0,0.46,Homework was easy,1022,0
STU00275,71.42,75.37,80.6,0,4,0.36,Excited for the football game,1156,0
STU00276,83.07,59.68,99.97,0,4,-0.64,So tired and stressed out,1096,1
STU00277,76.35,76.07,58.0,0,2,0.79,Homework was easy,1050,0
STU00278,98.53,82.23,67.36,0,3,0.81,Homework was easy,1159,0
STU00279,92.74,59.71,98.49,0,2,-0.81,Too much pressure,1089,1
STU00280,82.38,79.1,77.16,0,2,0.46,I feel great today,1176,0
STU00281,80.22,79.85,71.53,0,5,0.59,Love my teachers,1156,0
STU00282,88.54,64.47,75.17,0,15,0.06,Love my teachers,1020,0
STU00283,49.65,59.91,79.21,0,8,-0.82,Too much pressure,995,1
STU00284,67.67,78.93,100.0,0,4,0.19,I feel great today,1289,0
STU00285,34.97,47.67,69.31,1,4,-0.21,Feeling very overwhelmed,823,1
STU00286,72.76,50.92,61.06,0,2,-0.09,So tired and stressed out,814,0
STU00287,82.87,50.66,94.86,0,0,0.0,Too much pressure,980,0
STU00288,87.97,34.35,73.93,0,2,0.17,Struggling with math,713,0
STU00289,70.13,50.35,49.47,0,8,-0.03,Feeling very overwhelmed,750,1
STU00290,86.63,81.45,40.12,0,2,-0.36,Nobody wants to talk to me,1015,0
STU00291,62.31,79.09,66.66,0,5,-0.13,Class was fun,1124,0
STU00292,86.2,47.9,62.97,0,1,-0.19,Nobody wants to talk to me,793,0
STU00293,63.77,83.65,90.97,0,0,0.99,Had a good day at school,1291,0
STU00294,66.19,89.04,83.55,1,13,0.63,Homework was easy,1308,0
STU00295,44.76,65.65,66.31,1,0,0.97,Class was fun,988,0
STU00296,81.82,66.57,55.12,1,5,0.08,Homework was easy,941,0
STU00297,88.42,64.23,78.91,0,2,0.37,Class was fun,1036,0
STU00298,74.32,74.03,92.32,0,1,0.6,Excited for the football game,1201,0
STU00299,69.79,82.12,62.19,0,1,0.43,Homework was easy,1132,0
STU00300,79.22,74.01,78.03,0,1,0.59,Class was fun,1130,0
STU00301,69.52,90.17,65.88,0,6,0.74,I feel great today,1231,0
STU00302,94.54,56.37,100.0,0,2,-0.27,So tired and stressed out,1063,0
STU00303,81.42,67.71,68.26,0,2,0.61,Had a good day at school,1018,0
STU00304,92.81,46.24,83.43,1,3,-0.12,Feeling very overwhelmed,879,1
STU00305,67.62,91.12,74.35,0,3,-0.1,I feel great today,1282,0
STU00306,73.11,48.36,80.7,0,5,-0.7,Too much pressure,887,1
STU00307,96.67,75.84,58.61,0,4,0.23,Had a good day at school,1051,0
STU00308,91.65,82.31,94.09,1,0,0.5,I feel great today,1293,0
STU00309,77.61,59.26,50.22,0,0,0.06,Feeling very overwhelmed,843,0
STU00310,55.95,58.54,81.13,0,3,-0.28,Nobody wants to talk to me,991,1
STU00311,45.47,66.3,75.97,0,10,0.49,Class was fun,1042,0
STU00312,75.58,82.34,84.65,0,0,0.32,Homework was easy,1246,0
STU00313,75.19,76.15,88.14,1,14,-0.05,Homework was easy,1202,0
STU00314,79.55,44.56,66.9,0,5,-0.54,So tired and stressed out,780,1
STU00315,68.73,80.1,74.07,1,2,0.76,Class was fun,1171,0
STU00316,85.72,34.19,58.87,0,4,-0.78,So tired and stressed out,636,1
STU00317,68.51,81.91,77.82,0,1,0.04,I feel great today,1208,0
STU00318,80.72,50.8,66.27,0,4,-0.32,Nobody wants to talk to me,839,1
STU00319,75.64,46.78,82.16,2,0,-0.8,So tired and stressed out,878,1
STU00320,68.48,72.28,65.53,0,5,0.57,I feel great today,1050,0
STU00321,99.33,67.29,81.09,0,2,0.08,Homework was easy,1078,0
STU00322,73.66,56.31,70.82,0,2,-0.51,Struggling with math,917,1
STU00323,63.77,76.5,76.92,0,2,0.46,Homework was easy,1149,0
STU00324,78.1,83.26,71.6,4,2,0.6,Excited for the football game,1190,1
STU00325,69.41,56.54,58.24,1,2,-0.06,So tired and stressed out,856,1
STU00326,73.73,51.83,92.6,0,1,-0.5,Too much pressure,981,1
STU00327,53.72,53.06,82.69,0,3,-0.89,Too much pressure,944,1
STU00328,98.32,77.02,87.89,0,8,0.32,Had a good day at school,1209,0
STU00329,81.65,72.99,100.0,0,4,-0.1,Love my teachers,1229,0
STU00330,87.18,42.35,70.25,0,5,-0.04,Too much pressure,774,0
STU00331,97.6,48.81,79.03,0,1,-0.83,So tired and stressed out,883,1
STU00332,54.2,80.79,87.98,0,18,0.57,Class was fun,1247,0
STU00333,76.29,66.53,58.53,0,1,0.31,Class was fun,957,0
STU00334,91.52,70.14,67.39,0,6,0.88,Excited for the football game,1038,0
STU00335,75.53,69.66,65.27,1,1,0.83,Class was fun,1022,0
STU00336,82.74,86.6,89.76,0,3,-0.06,I feel great today,1314,0
STU00337,91.55,66.02,84.8,0,6,0.69,Had a good day at school,1084,0
STU00338,72.46,71.05,96.68,0,0,0.8,Love my teachers,1193,0
STU00339,69.78,35.68,67.88,1,5,-0.56,I feel lonely during lunch,696,1
STU00340,89.25,61.12,92.43,0,14,0.16,I feel great today,1073,0
STU00341,60.63,74.12,78.37,0,10,0.41,Love my teachers,1133,0
STU00342,68.57,89.05,53.56,0,8,-0.22,Struggling with math,1158,0
STU00343,96.33,62.76,73.54,0,1,0.3,I feel great today,995,0
STU00344,70.63,71.85,48.88,0,4,-0.14,Feeling very overwhelmed,962,0
STU00345,67.9,66.26,99.5,1,7,0.35,Had a good day at school,1160,0
STU00346,78.6,90.21,78.46,0,0,0.28,Homework was easy,1294,0
STU00347,85.23,88.34,65.52,0,1,0.47,Had a good day at school,1211,0
STU00348,95.09,59.77,62.32,0,0,-0.06,I feel lonely during lunch,909,0
STU00349,87.01,68.01,69.39,0,15,0.1,Class was fun,1027,0
STU00350,78.34,80.66,67.33,0,2,0.27,I feel great today,1143,0
STU00351,69.63,44.62,75.2,0,0,-0.34,I feel lonely during lunch,822,1
STU00352,88.93,65.06,81.69,0,7,-0.07,I feel great today,1059,0
STU00353,64.57,71.74,71.03,2,8,-0.12,Class was fun,1072,1
STU00354,88.57,85.57,71.66,0,1,0.57,I feel great today,1214,0
STU00355,90.74,65.87,73.26,0,10,0.21,Had a good day at school,1025,0
STU00356,57.87,84.13,68.57,1,3,-0.05,I feel great today,1184,0
STU00357,76.7,92.4,76.89,1,2,0.71,Love my teachers,1308,0
STU00358,85.42,88.82,73.28,0,16,0.33,Class was fun,1254,0
STU00359,78.59,76.28,87.8,1,7,0.93,Homework was easy,1201,0
STU00360,81.55,68.43,94.38,0,5,0.02,I feel great today,1156,0
STU00361,94.11,89.05,73.9,0,15,0.31,Had a good day at school,1260,0
STU00362,86.96,87.82,86.52,0,0,0.67,Class was fun,1310,0
STU00363,74.45,62.62,59.01,1,1,0.78,Had a good day at school,921,0
STU00364,46.97,81.23,71.05,0,0,0.65,Had a good day at school,1167,0
STU00365,93.87,67.88,52.48,0,2,0.14,Feeling very overwhelmed,941,0
STU00366,81.98,77.5,61.2,0,4,0.96,Had a good day at school,1081,0
